title,genres,original_language,overview,popularity,production_companies,release_date,budget,runtime,status,tagline,vote_average,vote_count,keywords,adult,production_countries,spoken_languages,actor_1_popularity,actor_2_popularity,actor_3_popularity,mpaa_rating,revenue
Table 19,Comedy-Drama,en,Eloise having been relieved of maid of honor duties after being unceremoniously dumped by the best man via text decides to attend the wedding anyway – only to find herself seated with five fellow-unwanted guests at the dreaded Table 19.,12.883,21 Laps Entertainment-3311 Productions-Story Ink,2017-03-03,15.424948470398375,87.0,Released,You're invited to the wedding of the season.,6.0,870.0,misfit-wedding reception-wedding-rebound-dumped by boyfriend,0.0,"United States of America, Finland",English,3.7244,1.644,1.8637,PG-13,15.43331616340207
WWR Identity Crisis,Action-Drama,en,Women’s Wrestling Revolution presented ‘Identity Crisis’ in Providence Rhode Island this past weekend on March 4th 2017. They released raw footage from the show tonight that you can watch on Beyond Wrestling’s youtube channel where all new subscribers get an automatic 14 day free trial after signing up. The DVD and Blu-Ray of the show will be up on Smart Mark Video within the next few weeks. We got the opportunity to watch the show and here are some quick thoughts on the matches: Maria Manic & Penelope Ford vs. Team Sea Stars (Ashley Vox & Delmi Exo)  Skylar vs. Willow Nightingale  Sonya Strong vs. Vanity  Karen Q vs. Tasha Steelz  Davienne & Mistress Belmont vs. The Twisted Sisters (Holidead & Thunder Rosa)  Barbi Hayden vs. Gabi Castrovinci  Alexis Rose vs. Veda Scott  Jordynne Grace vs. Renee Michelle  Rachel Ellering vs. Su Yung,0.6,Women's Wrestling Revolution,2017-03-04,8.644002038279933,97.0,Released,WWR Identity Crisis,7.5,2.0,wrestling-pro wrestling,0.0,United States of America,English,0.4686,0.1974,0.0846,PG,9.101194924715385
Unforgettable,Drama-Thriller,en,Julia moves in with her fiancé David but his ex-wife and her own haunting past join forces to rock her quiet suburban existence.,21.335,Di Novi Pictures,2017-03-06,16.300417207752275,100.0,Released,"When love ends, madness begins.",5.8,566.0,ex husband-woman director,0.0,United States of America,English,2.9472,3.3845,1.6815,R,16.692910319927627
Kong: Skull Island,Action-Adventure-Fantasy,en,Explore the mysterious and dangerous home of the king of the apes as a team of explorers ventures deep inside the treacherous primordial island.,165.878,Legendary Pictures-Tencent Pictures,2017-03-08,19.0358663830426,118.0,Released,All hail the king,6.5,10078.0,vietnam veteran-island-monster-1970s-expedition-giant monster-giant spider-creature-spin off-u.s. soldier-giant animal-kaiju-aftercreditsstinger-giant ape-monster island-water buffalo-uncharted-monsterverse,0.0,"China, United States of America","English, Vietnamese",4.3857,7.3181,4.7619,PG-13,20.155257349629814
The Disaster Artist,Comedy-Drama,en,An aspiring actor in Hollywood meets an enigmatic stranger by the name of Tommy Wiseau the meeting leads the actor down a path nobody could have predicted; creating the worst movie ever made.,14.704,New Line Cinema-Rabbit Bandini Productions-Point Grey Pictures-Good Universe-RatPac Entertainment-Ramona Films,2017-03-12,16.11809565095832,104.0,Released,"I did naaaht! Oh, hi Mark",7.1,3206.0,based on novel or book-jealousy-immigrant-ambition-biography-based on true story-behind the scenes-disaster-hollywood-desire-wealthy man-strange behavior-strange person-socially awkward-film production,0.0,United States of America,English,4.0515,3.077,4.8993,R,17.210710524364504
The Lost City of Z,Adventure-Drama-History,en,A true-life drama in the 1920s centering on British explorer Col. Percy Fawcett who discovered evidence of a previously unknown advanced civilization in the Amazon and disappeared whilst searching for it.,18.743,Plan B Entertainment-Northern Ireland Screen-Keep Your Head Productions-Sierra/Affinity-MICA Entertainment-MadRiver Pictures,2017-03-15,17.216707939626428,141.0,Released,A man's reach should exceed his grasp... or what's a heaven for?,6.375,2527.0,based on novel or book-river-snake-expedition-world war i-lost civilisation-biography-amazon-tribe-colonel-jungle-south america-explorer-journey-1920s-mysterious lands,0.0,"United Kingdom, United States of America","English, German, Portuguese, Spanish",4.468,7.6265,2.8118,PG-13,15.964284463497007
Beauty and the Beast,Family-Fantasy-Romance,en,A live-action adaptation of Disney's version of the classic tale of a cursed prince and a beautiful young woman who helps him break the spell.,59.589,Walt Disney Pictures-Mandeville Films,2017-03-16,18.890684373198102,129.0,Released,Be our guest.,6.968,15038.0,france-magic-fairy tale-transformation-cartoon-castle-musical-remake-curse-creature-18th century-beast-live action and animation-live action remake,0.0,United States of America,"English, French",8.5994,3.1251,3.2898,PG,20.72326583694641
Female Fight Squad,Action,en,A former fighter reluctantly returns to the life she abandoned in order to help her sister survive the sadistic world of illegal fighting and the maniac who runs it.,11.315,Tadross Media Group-Cineville-FFC Productions-Parkside Pictures,2017-03-16,14.508657738524219,90.0,Released,Revenge Rules,6.4,71.0,fighting,0.0,United States of America,English,1.2938,0.7538,0.2975,R,10.010232109966116
Song to Song,Drama-Romance-Music,en,In this modern love story set against the Austin Texas music scene two entangled couples — struggling songwriters Faye and BV and music mogul Cook and the waitress whom he ensnares — chase success through a rock ‘n’ roll landscape of seduction and betrayal.,13.039,FilmNation Entertainment-Buckeye Pictures-Broad Green Pictures,2017-03-17,16.11809565095832,129.0,Released,Love. Obsession. Betrayal.,5.4,776.0,musician-record producer-sexual attraction-sexual experimentation-love story-philosophy of mind,0.0,United States of America,English,20.3562,2.3512,4.486,R,14.352312652748425
Life,Horror-Science Fiction-Mystery-Thriller,en,The six-member crew of the International Space Station is tasked with studying a sample from Mars that may be the first proof of extra-terrestrial life which proves more intelligent than ever expected.,26.886,Columbia Pictures-Nvizage-Sony Pictures-Skydance Media,2017-03-22,17.875953568510692,104.0,Released,Be careful what you search for,6.4,6553.0,planet mars-alien life-form-space-astronaut-space station-intelligent-trapped in space-extraterrestrial life-alien on board-death of astronaut,0.0,United States of America,"English, Japanese, Vietnamese",9.8118,6.6213,8.1711,R,18.42608417906717
CHiPS,Action-Comedy-Crime,en,The adventures of two California Highway Patrol motorcycle officers as they make their rounds on the freeways of Los Angeles.,19.744,Warner Bros. Pictures-Primate Pictures,2017-03-23,17.034386382832476,100.0,Released,Chip Happens,6.132000000000001,1116.0,police-police corruption-los angeles california-buddy cop,0.0,United States of America,"Spanish, English",4.4564,1.9035,1.0815,R,17.103918117106794
Power Rangers,Action-Adventure-Science Fiction,en,Saban's Power Rangers follows five ordinary teens who must become something extraordinary when they learn that their small town of Angel Grove — and the world — is on the verge of being obliterated by an alien threat. Chosen by destiny our heroes quickly discover they are the only ones who can save the planet. But to do so they will have to overcome their real-life issues and before it’s too late band together as the Power Rangers.,51.529,Lionsgate-Saban Brands-Saban Films-Temple Hill Entertainment,2017-03-23,18.469470908121796,124.0,Released,Together we are more.,6.3,4047.0,spacecraft-super power-superhero team-lgbt-reboot-ethnic diversity-based on tv series-based on japanese tv series,0.0,"Canada, Hong Kong, United States of America",English,2.0266,0.9918,1.0917,PG-13,18.77370972945491
The Boss Baby,Animation-Comedy-Family,en,A story about how a new baby's arrival impacts a family told from the point of view of a delightfully unreliable narrator a wildly imaginative 7 year old named Tim.,28.085,DreamWorks Animation-20th Century Fox,2017-03-23,18.643824295266576,97.0,Released,Born leader,6.4,6839.0,baby-family relationships-sibling rivalry-unreliable narrator-baby brother,0.0,United States of America,English,4.3854,4.8688,0.6206,PG,20.08454232443783
The Zookeeper's Wife,Drama-History-War,en,The account of keepers of the Warsaw Zoo Jan and Antonina Zabinski who helped save hundreds of people and animals during the Nazi invasion.,15.484000000000002,Scion Films-LD Entertainment-Focus Features-Czech Anglo Productions,2017-03-24,16.811242831518264,126.0,Released,They gave all they had to save all they could,7.4,1366.0,holocaust (shoah)-world war ii-nazi-biography-zookeeper,0.0,"Czech Republic, United Kingdom, United States of America",English,4.7419,2.2211,0.6659,PG-13,17.079468155600853
Ghost in the Shell,Action-Crime-Mystery-Science Fiction-Thriller,en,In the near future Major is the first of her kind: a human saved from a terrible crash then cyber-enhanced to be a perfect soldier devoted to stopping the world's most dangerous criminals.,34.952,Weying Galaxy Entertainment-Paramount-Shanghai Film Group-Reliance Entertainment-Grosvenor Park Productions-Steven Paul Production-Huahua Media-Seaside Entertainment-DreamWorks Pictures-Arad Productions,2017-03-29,18.51599092375669,107.0,Released,There's nothing sadder than a puppet without a ghost.,6.063,7356.0,philosophy-cyborg-hacker-strong woman-dystopia-investigation-female protagonist-cyberpunk-terrorism-based on manga-evolution-network-based on anime-prosthesis-live action anime,0.0,"China, Hong Kong, India, United States of America","Japanese, English",20.6842,2.6351,2.0048,PG-13,18.950143145087303
The Big Sick,Comedy-Drama-Romance,en,Pakistan-born comedian Kumail Nanjiani and grad student Emily Gardner fall in love but struggle as their cultures clash. When Emily contracts a mysterious illness Kumail finds himself forced to face her feisty parents his family's expectations and his true feelings.,13.651,Amazon Studios-FilmNation Entertainment-Apatow Productions-Story Ink,2017-03-30,15.424948470398375,120.0,Released,An awkward true story.,7.3,2176.0,new york city-chicago illinois-muslim-roommate-sadness-immigrant-sarcasm-comedian-one-man show-pakistan-based on true story-stand-up comedy-film in film-matchmaking-family relationships-cultural difference-hospital-falling in love-family-illness-group of friends-intercultural relationship-college student-uber-traditional family-comedy club-grad school,0.0,United States of America,"English, Urdu",3.1064,1.4544,3.0633,R,17.84626896318386
Free Fire,Action-Crime-Mystery,en,In 1970’s Boston a meeting in a deserted warehouse between two gangs turns into a shoot-out and a game of survival.,15.418,Film4 Productions-Rook Films-Protagonist Pictures,2017-03-31,15.761420707019587,90.0,Released,All guns. No control.,6.277,956.0,1970s-sniper-boston massachusetts-gang-shootout-warehouse,0.0,United Kingdom,English,5.8204,2.1395,1.7099,R,15.12906835227795
Going in Style,Crime-Comedy,en,Desperate to pay the bills and come through for their loved ones three lifelong pals risk it all by embarking on a daring bid to knock off the very bank that absconded with their money.,17.459,New Line Cinema-Village Roadshow Pictures-Warner Bros. Pictures-De Line Pictures-RatPac Entertainment,2017-04-06,17.034386382832476,96.0,Released,You're never too old to get even.,6.7,2438.0,retiree-old man-bank robbery-retired-elderly-bank heist,0.0,United States of America,English,10.4744,6.5686,3.3165,PG-13,18.253663961320743
The Fate of the Furious,Action-Crime-Thriller,en,When a mysterious woman seduces Dom into the world of crime and a betrayal of those closest to him the crew face trials that will test them as never before.,111.317,Original Film-One Race-Universal Pictures,2017-04-12,19.138520537102682,136.0,Released,Family no more.,6.892,9541.0,new york city-submarine-sequel-street race-betrayal-rescue mission-criminal mastermind-mysterious woman,0.0,United States of America,"English, Spanish",10.1274,23.2858,7.754,PG-13,20.72326583694641
Guardians of the Galaxy Vol. 2,Adventure-Action-Science Fiction,en,The Guardians must fight to keep their newfound family together as they unravel the mysteries of Peter Quill's true parentage.,459.47,Marvel Studios,2017-04-19,19.11382792451231,137.0,Released,Obviously.,7.622999999999999,19621.0,sequel-superhero-based on comic-misfit-space-aftercreditsstinger-duringcreditsstinger-marvel cinematic universe (mcu),0.0,United States of America,English,7.9456,9.6725,5.6289,PG-13,20.576800938520893
Phoenix Forgotten,Horror-Mystery-Science Fiction,en,20 years after three teenagers disappeared in the wake of mysterious lights appearing above Phoenix Arizona unseen footage from that night has been discovered chronicling the final hours of their fateful expedition.,8.566,Cinelou Films-The Fyzz Facility-Atmosphere Entertainment MM-Scott Free Productions,2017-04-21,14.845129975145433,87.0,Released,Based on Shocking Untold True Events,5.992999999999999,268.0,found footage,0.0,United States of America,English,0.3688,0.5198,0.5803,PG-13,15.096444403426338
The Circle,Drama-Thriller-Science Fiction,en,A young tech worker takes a job at a powerful Internet corporation quickly rises up the company's ranks and soon finds herself in a perilous situation concerning privacy surveillance and freedom. She comes to learn that her decisions and actions will determine the future of humanity.,19.453,Likely Story-Playtone-STX Entertainment-Image Nation,2017-04-27,16.70588231586044,110.0,Released,Knowing is good. Knowing everything is better.,5.507000000000001,4042.0,technology-video surveillance-criminal-technicians-tech company,0.0,"France, United Arab Emirates, United States of America",English,8.5994,13.9728,2.4339,PG-13,17.52055524776534
"Run, Hide, Fight",Documentary-Crime,en,A film featuring the response by several office workers in response to an Active Shooter attack.,1.031,U.S. Department of Homeland Security,2017-05-01,10.819778284410283,15.0,Released,Survival is Personal,0.0,0.0,survival-active shooter,0.0,United States of America,English,0.0362,0.0,0.0071,NR,11.385092093460344
Bad Genius,Drama-Crime-Thriller,th,Lynn a brilliant student after helping her friends to get the grades they need develops the idea of starting a much bigger exam-cheating business.,12.515,Jor Kwang Films-GDH 559,2017-05-03,14.424824397134644,130.0,Released,Genius students with one mission... Turning exam answers into millions.,7.942,687.0,cheating-school friend-thailand-australia-high school-father daughter relationship,0.0,Thailand,"English, Thai",0.7961,0.9938,0.6141,PG-13,17.561478979062336
Snatched,Action-Comedy,en,When her boyfriend dumps Emily a spontaneous woman in her 30s she persuades her ultra-cautious mom to accompany her on a vacation to Ecuador. When these two very different women are trapped on this wild journey their bond as mother and daughter is tested and strengthened while they attempt to navigate the jungle and escape.,12.496,20th Century Fox-Chernin Entertainment-Feigco Entertainment,2017-05-03,17.553180176247643,90.0,Released,"Mess with me, mess with my mother.",5.4,728.0,parent child relationship-ransom-kidnapping-tourist-vacation-ecuador,0.0,United States of America,"English, Portuguese, Spanish",2.543,3.5121,1.3449,R,17.923851890114953
Alien: Covenant,Science Fiction-Horror-Mystery,en,Bound for a remote planet on the far side of the galaxy the crew of the colony ship 'Covenant' discovers what is thought to be an uncharted paradise but is actually a dark dangerous world—which has a sole inhabitant: the 'synthetic' David survivor of the doomed Prometheus expedition.,83.22200000000001,Scott Free Productions-20th Century Fox-Brandywine Productions,2017-05-09,18.390221536467656,122.0,Released,The path to paradise begins in hell.,6.093,7998.0,android-spacecraft-experiment-space travel-infection-engineer-alien life-form-sequel-alien-space-creature-robot-scientist-genocide-creation-acid-xenomorph-alien technology-genetic mutation,0.0,"United Kingdom, United States of America","English, German",4.486,1.9973,2.5028,R,19.29985827438948
King Arthur: Legend of the Sword,Action-Drama-Fantasy,en,When the child Arthur’s father is murdered Vortigern Arthur’s uncle seizes the crown. Robbed of his birthright and with no idea who he truly is Arthur comes up the hard way in the back alleys of the city. But once he pulls the sword Excalibur from the stone his life is turned upside down and he is forced to acknowledge his true legacy... whether he likes it or not.,38.27,Village Roadshow Pictures-Weed Road Pictures-Wigram Productions-Safehouse Pictures-Warner Bros. Pictures,2017-05-10,18.980296531887788,126.0,Released,From nothing comes a King,6.533,5162.0,knight-king arthur-excalibur,0.0,United States of America,English,4.468,1.5209,4.9835,PG-13,18.817273717478137
Deep,Animation-Family-Adventure,en,In 2100 when humanity has abandoned the earth a colony of extravagant creatures still thrives in the deepest abyss of the ocean.,12.198,Grindstone Entertainment Group-Silver Reel-uMedia-Grid Animation-The Kraken Films-The Thinklab-Propulsion-Dragon Dreams,2017-05-12,15.60727002719233,92.0,Released,"Under pressure, everything gets complicated",6.0,126.0,new york city-fish-octopus-eel-titanic-arctic polar circle region-kraken-shrimp,0.0,"Belgium, China, Spain, Switzerland, United Kingdom, United States of America",English,0.5179,1.1768,2.1435,PG,16.210884472991758
The Wall,War-Thriller-Drama,en,An American sniper and his spotter engage in a deadly cat-and-mouse game with an Iraqi sniper.,18.505,Big Indie Pictures-Amazon Studios-Picrow,2017-05-12,14.914122846632385,90.0,Released,This isn't war. It's a game.,6.3,753.0,helicopter-sniper-iraq-murder-soldier-iraq war-trapped-desert,0.0,United States of America,English,5.1201,5.4742,0.7425,R,15.319587954740548
"Everything, Everything",Drama-Romance,en,A teenager who's lived a sheltered life because she's allergic to everything falls for the boy who moves in next door.,17.117,Alloy Entertainment-Itaca Films-Metro-Goldwyn-Mayer,2017-05-18,16.11809565095832,96.0,Released,Risk everything... for love.,7.3,3528.0,nurse-based on novel or book-isolation-love-neighbor-teenage girl-air-teenage love-illness-sheltered-taking a risk-based on young adult novel,0.0,United States of America,English,3.3246,2.1135,1.5754,PG-13,17.93651555144852
Pirates of the Caribbean: Dead Men Tell No Tales,Adventure-Action-Fantasy,en,Thrust into an all-new adventure a down-on-his-luck Capt. Jack Sparrow feels the winds of ill-fortune blowing even more strongly when deadly ghost sailors led by his old nemesis the evil Capt. Salazar escape from the Devil's Triangle. Jack's only hope of survival lies in seeking out the legendary Trident of Poseidon but to find it he must forge an uneasy alliance with a brilliant and beautiful astronomer and a headstrong young man in the British navy.,85.865,Walt Disney Pictures-Jerry Bruckheimer Films-Infinitum Nihil,2017-05-23,19.138520537102682,128.0,Released,All pirates must die.,6.646,10779.0,sea-ship-sequel-artifact-treasure map-pirate-period drama-monkey-swashbuckler-ghost-caribbean sea-trident-cướp biển-hải tặc,0.0,United States of America,English,9.1024,4.9279,2.5534,PG-13,20.495012123466058
The Man with the Iron Heart,War-Action-History-Thriller,en,With the Third Reich at its peak in 1942 the Czech resistance in London plans the most ambitious military operation of WWII –  Anthropoid. Two young recruits are sent to Prague to assassinate the most ruthless Nazi leader – Reinhardt Heydrich head of the SS the Gestapo and the architect of the Final Solution.,22.405,France 2 Cinéma-Canal+-The Weinstein Company-Echo Lake Entertainment-Mars Films-Carmel Productions-France Télévisions-FilmNation Entertainment-Nexus Factory-Ciné+-Taxshelter. be-BNP Paribas Fortis-Red Crown Productions-Légende Films-C2M Productions-Cutting Edge Group-Lantern Entertainment-HHHH,2017-05-25,17.302265688388065,120.0,Released,The true story of how the architect of the Holocaust was assassinated,6.6,620.0,assassination-based on novel or book-world war ii-nazi-operation anthropoid,0.0,"Belgium, Czech Republic, France, United Kingdom, United States of America","English, German",2.3099,8.5563,3.7743,R,15.299983481143961
Baywatch,Comedy-Action-Crime,en,Devoted lifeguard Mitch Buchannon butts heads with a brash new recruit. Together they uncover a local criminal plot that threatens the future of the Bay.,47.837,Paramount-The Montecito Picture Company-Flynn Picture Company-Fremantle Productions-Seven Bucks Productions-Skydance Media-Uncharted,2017-05-25,18.049617062561534,116.0,Released,"Don't worry, summer is coming",6.099,7271.0,sea-beach-drug dealer-yacht-life-saver-lifeguard-rookie-vigilantism,0.0,United States of America,English,7.754,5.2596,5.7583,R,18.99648901459249
47 Meters Down,Horror-Drama-Thriller-Adventure,en,Two sisters on Mexican vacation are trapped in a shark observation cage at the bottom of the ocean with oxygen running low and great whites circling nearby they have less than an hour of air left to figure out how to get to the surface.,19.739,Dimension Films-Tea Shop & Film Company-The Fyzz-Lantica Media-Flexibon Films-Altitude Film Sales-Entertainment Studios Motion Pictures-Dragon Root Securities,2017-05-25,15.520258650202699,89.0,Released,No way out. No way up. No chance in hell.,5.8,2459.0,diving-sibling relationship-shark attack-cage-creature-shark-trapped underwater ,0.0,"Dominican Republic, United Kingdom, United States of America","English, Spanish",2.4024,1.7714,3.0423,PG-13,17.605027408849754
Double Lover,Romance-Thriller-Drama,fr,Chloé a fragile young woman falls in love with her psychoanalyst Paul. A few months later she moves in with him but soon discovers that her lover is concealing a part of his identity.,10.681,FOZ-Mars Films-Mandarin Cinéma,2017-05-26,15.777012801779424,108.0,Released,Deception is part of the attraction.,6.108,458.0,lover-twin brother-deception-lgbt-bisexual man-erotic movie,0.0,"Belgium, France",French,1.1188,1.022,10.3615,NR,15.262093955186247
Wonder Woman,Action-Adventure-Fantasy,en,An Amazon princess comes to the world of Man in the grips of the First World War to confront the forces of evil and bring an end to human conflict.,63.529,Atlas Entertainment-Cruel & Unusual Films-DC Films,2017-05-30,18.819456863909732,141.0,Released,Power. Grace. Wisdom. Wonder.,7.24,18424.0,hero-greek mythology-island-feminism-empowerment-world war i-strong woman-superhero-based on comic-female protagonist-period drama-super power-heroine-woman director-female empowerment-1910s-dc extended universe (dceu),0.0,United States of America,"German, English",4.8536,3.4764,4.4574,PG-13,20.52828969071787
Captain Underpants: The First Epic Movie,Action-Animation-Comedy-Family,en,Two mischievous kids hypnotize their mean elementary school principal and turn him into their comic book creation the kind-hearted and elastic-banded Captain Underpants.,25.544,DreamWorks Animation,2017-06-01,17.45309671769066,89.0,Released,50% Hero. 100% Cotton.,6.2,1040.0,underwear-school-principal-grade school,0.0,United States of America,English,4.5168,2.482,1.7165,PG,18.64723990343004
Band Aid,Comedy-Drama-Music,en,A couple who can't stop fighting embark on a last-ditch effort to save their marriage: turning their fights into songs and starting a band.,9.126,Mister Lister Films-QC Entertainment,2017-06-02,16.11809565095832,91.0,Released,Misery loves accompaniment,6.4,132.0,relationship problems-neighbor-woman director,0.0,United States of America,English,1.5561,1.3102,2.1219,R,12.42267484880096
The Mummy,Fantasy-Thriller-Action-Adventure-Horror,en,Though safely entombed in a crypt deep beneath the unforgiving desert an ancient queen whose destiny was unjustly taken from her is awakened in our current day bringing with her malevolence grown over millennia and terrors that defy human comprehension.,36.243,Secret Hideout-Sean Daniel Company-Universal Pictures-Perfect World Pictures-Conspiracy Factory-dentsu,2017-06-06,18.643824295266576,110.0,Released,Welcome To A New World of Gods And Monsters,5.502000000000001,6500.0,egypt-monster-mummy-supernatural-horror-remake-tomb-egyptian mythology,0.0,"China, Japan, United States of America","Arabic, English",23.7411,6.8923,3.8366,PG-13,19.829791830016784
All Eyez on Me,Drama-Music,en,All Eyez on Me chronicles the life and legacy of Tupac Shakur including his rise to superstardom as a hip-hop artist actor poet and activist as well as his imprisonment and prolific controversial time at Death Row Records. Against insurmountable odds Tupac rose to become a cultural icon whose career and persona both continue to grow long after his passing.,19.53,Voltage Pictures-Morgan Creek Productions-Program Pictures,2017-06-12,17.50439001207821,139.0,Released,Legends never die,6.7,1073.0,rapper-biography,0.0,United States of America,English,0.4944,2.4239,1.8272,R,17.62044493318218
Cars 3,Animation-Adventure-Comedy-Family,en,Blindsided by a new generation of blazing-fast racers the legendary Lightning McQueen is suddenly pushed out of the sport he loves. To get back in the game he will need the help of an eager young race technician with her own plan to win inspiration from the late Fabulous Hudson Hornet and a few unexpected turns. Proving that #95 isn't through yet will test the heart of a champion on Piston Cup Racing’s biggest stage!,106.248,Pixar,2017-06-15,18.980296531887788,102.0,Released,It's not over until lightning strikes.,6.8,4928.0,trainer-sequel-travel-racing-anthropomorphism-high tech,0.0,United States of America,English,5.0241,0.663,3.373,G,19.76595849786618
Rough Night,Drama-Comedy,en,Five best friends from college reunite 10 years later for a wild bachelorette weekend in Miami. Their hard partying takes a hilariously dark turn when they accidentally kill a male stripper. Amidst the craziness of trying to cover it up they're ultimately brought closer together when it matters most.,25.374,Paulilu Productions-Sony Pictures-Columbia Pictures-LStar Capital,2017-06-15,16.811242831518264,101.0,Released,The hangover will be the least of their problems,5.7,1888.0,miami florida-friendship-friends-dark comedy-drinking-male stripper-accident-bachelorette party,0.0,United States of America,English,20.6842,2.1381,1.6213,R,17.623433830391793
Despicable Me 3,Action-Animation-Comedy-Family-Adventure,en,Gru and his wife Lucy must stop former '80s child star Balthazar Bratt from achieving world domination.,34.257,Illumination-Universal Pictures,2017-06-15,18.197537192638155,96.0,Released,Oh brother.,6.5,6466.0,twin brother-sequel-despicable-minions,0.0,United States of America,English,6.2513,3.0214,1.9707,PG,20.72326583694641
The Book of Henry,Drama-Crime-Thriller,en,Susan a single mother of two works as a waitress in a small town. Her son Henry is an 11-year-old genius who not only manages the family finances but acts as emotional support for his mother and younger brother. When Henry discovers that the girl next door has a terrible secret he implores Susan to take matters into her own hands.,18.796,Sidney Kimmel Entertainment-Double Nickel Entertainment,2017-06-16,16.11809565095832,105.0,Released,Never leave things undone.,7.5,1184.0,suicide-parent child relationship-single mother-boy genius-seizure,0.0,United States of America,English,3.8209,2.2793,2.2408,PG-13,15.340850300442963
Transformers: The Last Knight,Action-Adventure-Science Fiction,en,Autobots and Decepticons are at war with humans on the sidelines. Optimus Prime is gone. The key to saving our future lies buried in the secrets of the past in the hidden history of Transformers on Earth.,57.415,Paramount-di Bonaventura Pictures-Ian Bryce Productions-Tom DeSanto/Don Murphy Production,2017-06-16,19.138520537102682,154.0,Released,Two worlds collide. One survives.,6.1,5872.0,england-based on toy-knight-robot-transformers,0.0,United States of America,English,8.2594,3.1777,3.7978,PG-13,20.22139995455189
Kidnap,Drama-Thriller,en,A mother (in her Minivan) stops at nothing to recover her kidnapped son.,20.21,Ingenious Media-Di Bonaventura Pictures-Gold Star Films-Lotus Entertainment-606 Films-Well Go USA Entertainment-Rumble Entertainment,2017-06-16,16.860032995687696,95.0,Released,Vengeance is Mom,6.2,1175.0,mother-single parent-waitress-kidnapping-strong woman-louisiana-chase-police-female protagonist-single mother-park-child kidnapping-determination-abduction-mother son relationship,0.0,"United Kingdom, United States of America",English,9.1276,0.4295,0.4647,R,17.240362843251336
Loving Vincent,Animation-Drama-Mystery-History,en,A young man arrives at the last hometown of painter Vincent van Gogh to deliver the troubled artist's final letter and ends up investigating his final days there.,15.145,Breakthru Films-PISF-Trademark Films-Good Deed Entertainment-Odra Film-Centrum Technologii Audiowizualnych,2017-06-22,15.520258650202699,95.0,Released,"The truth is, we cannot speak other than by our paintings.",8.048,2192.0,painter-artist-letter-investigation-bullying-struggling artist-19th century-mysterious death-controversial artist-vincent van gogh,0.0,"United Kingdom, Poland",English,1.802,2.4121,0.4029,PG-13,17.557638437700486
The Beguiled,Drama,en,During the Civil War at a Southern girls’ boarding school young women take in an injured enemy soldier. As they provide refuge and tend to his wounds the house is taken over with sexual tension and dangerous rivalries and taboos are broken in an unexpected turn of events.,21.635,FR Productions-American Zoetrope,2017-06-23,16.166885815127753,93.0,Released,"Innocent, until betrayed.",5.9,2036.0,based on novel or book-remake-sexual tension-period drama-union soldier-virginia-american civil war-woman director-confederacy-all girls school-19th century-girls' school,0.0,United States of America,"English, French",5.2479,7.891,8.0339,R,17.126053571358298
The Bad Batch,Drama-Horror-Science Fiction,en,Arlen is sent to a fenced-off wasteland where undesirables are exiled to when she is kidnapped by a group of cannibals. She escapes and ends up on a journey to reunite a missing girl with her father.,22.876,Annapurna Pictures-Vice Studios,2017-06-23,15.60727002719233,119.0,Released,Don’t play with your food.,5.3,925.0,amputation-kidnapping-post-apocalyptic future-dystopia-exile-drug use-cannibal-cult leader-woman director,0.0,United States of America,English,1.9702,7.5691,10.2171,R,12.105428766809247
Godard Mon Amour,Drama-Romance-Comedy,fr,In 1967 during the making of “La Chinoise” film director Jean-Luc Godard falls in love with 19-year-old actress Anne Wiazemsky and marries her.,10.503,Canal+-France 3 Cinéma-StudioCanal-France Télévisions-Ciné+-La Région Île-de-France-La Classe américaine-Les Compagnons du Cinéma-Forever Group,2017-06-24,16.368133954226842,108.0,Released,"This movie is a “stupid, stupid idea.”",6.7,300.0,may 68-maoism-film director,0.0,"Myanmar, France","Czech, French, English, Italian",1.089,1.4608,2.0277,R,11.317688866909027
Baby Driver,Action-Crime,en,After being coerced into working for a crime boss a young getaway driver finds himself taking part in a heist doomed to fail.,80.015,Big Talk Studios-Working Title Films-Working Title Films,2017-06-28,17.341871082580436,113.0,Released,All you need is one killer track.,7.452000000000001,15411.0,robbery-waitress-atlanta-crime boss-romance-heist-getaway car-on the run-shootout-bank robbery-getaway driver-sign languages-armed robbery-aggressive-hearing impaired-suspenseful-intense-joyful,0.0,United Kingdom,English,1.6104,4.4608,4.4137,R,19.240218638692355
The House,Comedy,en,When Scott and Kate Johansen’s daughter gets into the college of her dreams it’s cause for celebration. That is until Scott and Kate learn that the scholarship they were counting on didn’t come through and they’re now on the hook for tuition they can’t begin to afford. With the help of their friend and neighbor Frank also in need of a major payday they decide to open an illegal casino in his suburban house risking everything together on a Vegas-style bacchanal where money flows inhibitions are checked at the door and all bets are off.,13.827,New Line Cinema-Village Roadshow Pictures-Gary Sanchez Productions-Good Universe,2017-06-29,17.50439001207821,88.0,Released,"If you can't beat the house, be... The House",5.632000000000001,803.0,casino-neighbor-money,0.0,United States of America,English,2.3155,4.6226,2.1338,R,17.347736202032834
